pajek,subd_id,subd_name,disc_id,x,y,size,
523,403,Human Resource Management,13,5.91,-1.43,4.67,
221,404,Ecological Modeling,1,2.4,-0.81,5.92,
361,405,Clinical Rehabilitation,3,3.97,-1.56,11.78,
118,406,Metallurgy,4,1.26,-2,7.72,
507,407,Ethics,9,5.88,-0.63,1.77,
473,408,Marital & Family Therapy,13,5.32,-1.6,3.67,
81,409,Aerospace,4,0.87,-1.81,9.71,
505,410,Critical Studies,9,5.87,-0.64,2.19,
548,411,Econometrics,13,6.1,-1.41,4.68,
448,412,Neuroscience Methods,8,4.79,-1.62,3.77,
173,413,Mineralogy,6,1.85,-0.75,5.15,
411,414,Trauma,12,4.31,-1.75,6.52,
219,415,Thermal Analysis,5,2.39,-2.17,5.48,
120,416,Solar & Wind Power,4,1.27,-1.92,6.43,
151,417,Ocean Engineering,4,1.56,-1.3,6.34,
480,418,Educational Psychology,13,5.55,-1.49,3.12,
238,419,Mycology,1,2.57,-0.84,3.46,
498,420,Semiotics,9,5.86,-0.64,1.57,
166,421,Dyes & Pigments,4,1.74,-1.84,4.47,
348,422,Drug Safety,3,3.9,-1.78,7.33,
234,423,Molecular Ecology,1,2.55,-0.74,5.17,
310,424,Cytogentics & Genome Mapping,10,3.66,-1.4,5.77,
466,425,Clinical Psychiatry,12,5.17,-1.68,3.22,
191,426,Paleogeography,6,2.02,-0.69,2.73,
183,427,Water Waste,4,1.91,-1.15,3.17,
32,428,Computer Networks,7,0.41,-1.79,2.84,
213,429,Weed Management,1,2.28,-1,3.86,
34,430,User Interface Design,7,0.42,-1.73,3.45,
527,431,Public Policy,13,5.92,-1.26,2.49,
199,432,Liquid Crystals,5,2.17,-2.17,4.7,
45,433,Control Systems,7,0.47,-1.9,4.91,
535,434,Environmental Policy,13,5.95,-1.32,2,
40,435,Topology,11,0.45,-2.07,3.38,
136,436,Construction,4,1.44,-1.64,3.77,
148,437,Dams & Tunnels,4,1.56,-1.41,4.01,
536,438,Regional Studies,13,5.98,-1.33,2.45,
109,439,Electrochemical Development,4,1.2,-2.15,5.97,
134,440,Digital Printing,4,1.44,-1.89,4.82,
283,441,Peptides,10,3.16,-1.45,5.1,
161,442,Applied Geophysics,4,1.66,-1.16,4.31,
